language,source,input_form,tokens,types,TTR,MATTR,MTLD_corrected,HLR,Guiraud,vocd_style_D
Russian,pooled,word_forms,2269297,116633,0.051396093151315145,0.8410547106313842,88.33789222405505,0.4335736884072261,77.42403071732535,265.50114760604237
Kazakh,pooled,word_forms,1072340,127847,0.11922244810414608,0.9134406611603678,397.16510872467643,0.5375487887865965,123.45943594059857,1356.1440001704602
Russian,ru_ages_lemmas,lemmas,213584,15591,0.0729970409768522,0.8179313929798258,89.65993411931291,0.435700083381438,33.73569127600771,191.30988992439612
Russian,ru_dialogue_lemmas,lemmas,294738,20279,0.06880347970061546,0.6289501135093929,18.040985505157508,0.5411509443266433,37.35325641558954,149.20306781877005
Russian,ru_folk_tales_lemmas,lemmas,171647,12219,0.07118679615722966,0.8035311600369222,78.58489769920646,0.42646697765774616,29.49290528661409,194.30430248842484
Russian,ru_other_cultures_lemmas,lemmas,1589179,35846,0.022556301083767154,0.818622126575304,93.88260920948593,0.35175472856106677,28.435069344890252,182.68873145439179
Kazakh,fairy_tales_lemmas,lemmas,78665,6938,0.0881967838301659,0.7869970489466747,70.15262053255734,0.4720380513116172,24.736800242021825,205.71364283542883
Kazakh,subtitles_lemmas,lemmas,142354,13957,0.09804431206710033,0.8259033765504683,92.7256037553673,0.5347137637028014,36.99195133431757,231.96268544485568
Kazakh,journal_lemmas,lemmas,220358,17716,0.08039644578367929,0.8280077527470956,113.23429222804799,0.4822194626326485,37.739944799955154,404.0425462654512
Kazakh,books_lemmas,lemmas,167482,15824,0.09448179505857346,0.8864162978623675,199.20641716244302,0.4891304347826087,38.666263395974354,378.05205917624295
Kazakh,educational_lemmas,lemmas,442617,27905,0.06304547724104587,0.8330388550466279,104.51789400764847,0.4963626590216807,41.9438200741347,302.85773505263023
